"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","PlayerURL","LeagueName","LeagueURL","StatType"
"2025-2026","Freiburg","Frauen-Bundesliga","Laura Benkarth","GER","GK","32-342",3,148,126,22,9,0,0,0,0,0,0,0,0,94,0,0,"https://fbref.com/en/players/82c4f339/Laura-Benkarth","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Lisa Karl","GER","DF","28-249",3,149,118,31,4,0,0,1,27,0,0,0,0,104,0,6,"https://fbref.com/en/players/3ed2f636/Lisa-Karl","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Julia Stierli","SUI","DF","28-171",3,168,149,18,8,0,0,0,0,0,0,0,0,137,1,3,"https://fbref.com/en/players/3acf52f4/Julia-Stierli","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Nia Szenk","GER","DF","21-139",3,161,111,48,4,0,0,13,44,0,0,0,0,105,2,5,"https://fbref.com/en/players/72f9d4a7/Nia-Szenk","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Meret Felde","GER","MF","26-073",2.7,107,102,4,4,0,0,2,0,0,0,0,0,74,1,5,"https://fbref.com/en/players/18c75eec/Meret-Felde","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Luca-Emily Birkholz","GER","FW","21-305",2.5,37,36,1,0,0,0,0,0,0,0,0,0,27,0,2,"https://fbref.com/en/players/8492e70b/Luca-Emily-Birkholz","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Sophie Nachtigall","GER","MF","21-221",2.5,104,95,8,2,0,0,1,4,0,0,0,0,72,1,4,"https://fbref.com/en/players/f24b9bf7/Sophie-Nachtigall","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Selina Vobian","GER","MF,FW","22-359",2.2,55,35,20,8,1,0,22,0,12,1,3,8,24,0,3,"https://fbref.com/en/players/71f80447/Selina-Vobian","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Greta Stegemann","GER","DF","24-221",2.1,129,120,9,8,0,0,0,1,0,0,0,0,114,0,1,"https://fbref.com/en/players/45c1817c/Greta-Stegemann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Tessa Blumenberg","GER","FW,MF","20-245",1.7,41,39,2,0,0,0,2,0,0,0,0,0,26,0,3,"https://fbref.com/en/players/e7ce33e7/Tessa-Blumenberg","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Lisa Kolb","AUT","MF,FW","24-140",1.7,36,35,0,0,0,0,9,0,0,0,0,0,24,1,3,"https://fbref.com/en/players/1adffcd6/Lisa-Kolb","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Alena Bienz","SUI","MF","22-200",1.1,30,29,1,0,0,0,2,0,1,0,0,1,18,0,2,"https://fbref.com/en/players/14f0f5e7/Alena-Bienz","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Nicole Ojukwu","AUT","MF","19-297",1,41,39,2,0,0,1,1,1,1,0,1,0,31,0,1,"https://fbref.com/en/players/9e65aa0c/Nicole-Ojukwu","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Svenja Fölmli","SUI","FW","23-033",1,18,15,2,0,0,0,1,1,0,0,0,0,12,1,1,"https://fbref.com/en/players/cbb37685/Svenja-Folmli","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Ingibjörg Sigurðardóttir","ISL","DF","27-349",0.9,27,23,4,4,0,1,0,0,0,0,0,0,23,0,0,"https://fbref.com/en/players/14682560/Ingibjorg-Sigurdardottir","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Maj Schneider","GER","MF","18-023",0.6,13,13,0,0,0,0,0,0,0,0,0,0,8,0,1,"https://fbref.com/en/players/08794339/Maj-Schneider","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Aurélie Csillag","SUI","FW,MF","22-240",0.6,14,14,0,0,0,0,0,0,0,0,0,0,8,0,1,"https://fbref.com/en/players/9d59b4de/Aurelie-Csillag","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Freiburg","Frauen-Bundesliga","Leela Egli","SUI","FW","18-284",0.3,8,7,0,0,0,0,0,0,0,0,0,0,4,1,1,"https://fbref.com/en/players/d798a561/Leela-Egli","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Klara Bühl","GER","FW","24-288",2.5,148,127,21,5,0,0,33,1,15,8,6,0,107,0,5,"https://fbref.com/en/players/4d0c6dc5/Klara-Buhl","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Vanessa Gilles","CAN","DF","29-194",2.5,267,257,10,8,0,0,1,2,0,0,0,0,240,0,1,"https://fbref.com/en/players/a179cd70/Vanessa-Gilles","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Sarah Zadrazil","AUT","MF","32-214",2.3,150,146,4,3,0,0,1,1,0,0,0,0,134,0,3,"https://fbref.com/en/players/45ffafbf/Sarah-Zadrazil","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Georgia Stanway","ENG","MF","26-261",2.2,175,170,5,5,0,0,0,0,0,0,0,0,153,0,2,"https://fbref.com/en/players/89c43b54/Georgia-Stanway","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Momoko Tanikawa","JPN","MF,FW","20-137",2,82,81,1,0,0,0,1,1,0,0,0,0,69,0,2,"https://fbref.com/en/players/2a013ecf/Momoko-Tanikawa","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Pernille Harder","DEN","FW,MF","32-310",2,46,44,2,0,0,0,1,0,0,0,0,0,38,0,1,"https://fbref.com/en/players/363b99a4/Pernille-Harder","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","21-272",2,81,75,6,2,0,0,0,0,0,0,0,0,74,0,0,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Jovana Damnjanović","SRB","FW","30-301",1.9,86,78,6,1,0,1,4,4,0,0,0,0,62,2,5,"https://fbref.com/en/players/74a216cf/Jovana-Damnjanovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Franziska Kett","GER","DF","20-332",1.8,102,87,15,3,0,0,1,12,0,0,0,0,94,0,0,"https://fbref.com/en/players/72d8e7b3/Franziska-Kett","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Carolin Simon","GER","DF","32-301",1.7,161,128,32,3,0,0,10,26,3,2,1,0,134,1,2,"https://fbref.com/en/players/aaf0780f/Carolin-Simon","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lena Oberdorf","GER","MF","23-276",1.5,95,95,0,0,0,0,2,0,0,0,0,0,81,0,1,"https://fbref.com/en/players/74a0529b/Lena-Oberdorf","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Stine Ballisager Pedersen","DEN","DF","31-261",1.5,167,162,5,4,0,0,0,0,0,0,0,0,162,0,0,"https://fbref.com/en/players/41880331/Stine-Ballisager-Pedersen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Tuva Hansen","NOR","DF","28-048",1.2,73,62,10,0,0,0,2,10,0,0,0,0,55,1,2,"https://fbref.com/en/players/3ec11922/Tuva-Hansen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Katharina Naschenweng","AUT","DF","27-279",1.2,95,79,16,2,0,0,8,12,2,0,2,0,75,0,2,"https://fbref.com/en/players/ea029c1b/Katharina-Naschenweng","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Alara Sehitler","GER","MF,FW","18-298",1,29,29,0,0,0,0,2,0,0,0,0,0,22,0,1,"https://fbref.com/en/players/70c9b883/Alara-Sehitler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lea Schüller","GER","FW,MF","27-313",1,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0,"https://fbref.com/en/players/4528b262/Lea-Schuller","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing_types"
